Case,Model,Constraint,Parameter,final_online_accuracy_mean,final_online_accuracy_std,final_online_accuracy_min,final_online_accuracy_max,final_online_macrof1_mean,final_online_macrof1_std,final_online_macrof1_min,final_online_macrof1_max,final_online_weightedf1_mean,final_online_weightedf1_std,final_online_weightedf1_min,final_online_weightedf1_max,final_online_cohenkappa_mean,final_online_cohenkappa_std,final_online_cohenkappa_min,final_online_cohenkappa_max
strict_positive,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.992616,0.0034687957564549705,0.9872,0.9998,0.48815519592061757,0.12493833866294196,0.3315572534432492,0.660827235358331,0.9913374114792173,0.003919181724450124,0.9843271740223183,0.999899989999,0.458047318478987,0.3755338435960409,-0.00019626492746939393,0.9813694312609019
positive_noisy,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.6715679999999999,0.010026074805226621,0.651,0.6966,0.4468029250730442,0.006825434732679747,0.43184975915505647,0.4642847361749187,0.6703202567406205,0.010239407422307197,0.6485200746026366,0.6962441215186549,0.3429614790886149,0.020028792407370884,0.3014330739160891,0.3943149934149224
strict_negative,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.992624,0.0034750861859815805,0.9872,0.9998,0.48820155896404677,0.12497121806578984,0.3315572534432492,0.6616460138173045,0.9913451679567961,0.00392681981869019,0.9843271740223183,0.999899989999,0.45818424814585107,0.375631933574376,-0.00019626492746939393,0.9838204860525119
opposing_trend,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.6727159999999999,0.011112125989206571,0.6382,0.7016,0.44747792811311093,0.007758739417234371,0.4245342396777443,0.46693955424006134,0.6713698455741518,0.011666265593187817,0.6363552114803624,0.7007834522843955,0.3451155947869832,0.02204803734211895,0.2793615358323434,0.4020544319629318
strict_positive,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.994266,0.0024522732311061985,0.9892,0.9998,0.5136595325138679,0.13363416579201767,0.3317256162915327,0.660827235358331,0.9934554727244166,0.002845890929743915,0.985822186495177,0.999899989999,0.5339134564983541,0.4019624974744892,-0.00019587169155216722,0.9813694312609019
positive_noisy,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.6847719999999999,0.007262948161731564,0.6678,0.7076,0.4560605256420747,0.004893516559581565,0.44386955992791993,0.47146072875276995,0.6841159129360787,0.007366379046297906,0.6656647426408102,0.7069959103481478,0.36971891641768306,0.01442205157862458,0.33611756274808147,0.4162453877596001
strict_negative,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.9941559999999998,0.002539225078641125,0.988,0.9998,0.5102036353947981,0.13406285877348664,0.3315572534432492,0.6616460138173045,0.9932827169327269,0.002988596874412744,0.9843271740223183,0.999899989999,0.523692470805137,0.40313995185880125,-0.00019626492746939393,0.9838204860525119
opposing_trend,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.6726059999999999,0.011263230620030831,0.634,0.7016,0.4474146102309624,0.007851010987776791,0.42264674605245406,0.46693955424006134,0.6712764864848385,0.011797825261487748,0.6337615473025213,0.7007834522843955,0.34488925894627753,0.022378519311012212,0.2699384594025942,0.4020544319629318
strict_positive,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.994262,0.0024487866383170317,0.9892,0.9998,0.5135241452756951,0.13355073766198894,0.3317256162915327,0.660827235358331,0.9934475112899439,0.0028432283773523284,0.985822186495177,0.999899989999,0.5335063980792767,0.40171038697647465,-0.00019587169155216722,0.9813694312609019
positive_noisy,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.6714039999999999,0.010038684375952858,0.651,0.6966,0.44666647128741227,0.006837844995475537,0.43184975915505647,0.4642847361749187,0.6701200117039078,0.010256542011055527,0.6485200746026366,0.6962441215186549,0.3426160372745099,0.02005851378104731,0.3014330739160891,0.3943149934149224
strict_negative,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.9942759999999999,0.0024590697428092663,0.9892,0.9998,0.5137399679615602,0.13368171188397307,0.3317256162915327,0.6616460138173045,0.9934651994298808,0.002853920394392431,0.985822186495177,0.999899989999,0.5341502547870253,0.4021026394690683,-0.00019587169155216722,0.9838204860525119
opposing_trend,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.684592,0.00737536005900729,0.664,0.7038,0.4557666434119158,0.004979274580507597,0.44205391493995044,0.46851746987792153,0.6837799832598042,0.00750059984619913,0.6635203033359593,0.7031234146983552,0.3689469088379775,0.014586554791956955,0.32997202633209943,0.4065587717585767
strict_positive,Majority,None,Buffer=5,0.97921,0.020214517060766008,0.8904,0.9998,0.49510182230504995,0.004483527634045889,0.4778715654267526,0.49994999499949994,0.9695943689501602,0.029026985618971112,0.8486083656174335,0.999899989999,-0.00028215940412990096,0.002442243886916704,-0.006115155258121127,0.016505871512540845
strict_positive,Majority,None,Buffer=20,0.9795320000000001,0.019446135245852838,0.8984,0.9998,0.49483970155332196,0.005039959221258154,0.47324062368310155,0.49994999499949994,0.969704713346361,0.028805439054885466,0.85050804888327,0.999899989999,-0.00026928815785120093,0.0011003459192041759,-0.00039937203277181586,0.01066819588533239
strict_positive,Majority,None,Buffer=100,0.9795320000000001,0.019446135245852838,0.8984,0.9998,0.49483970155332196,0.005039959221258154,0.47324062368310155,0.49994999499949994,0.969704713346361,0.028805439054885466,0.85050804888327,0.999899989999,-0.00026928815785120093,0.0011003459192041759,-0.00039937203277181586,0.01066819588533239
positive_noisy,Majority,None,Buffer=5,0.49915,0.006411450693875764,0.4826,0.514,0.49890140417396167,0.006414602941810283,0.48257166562440956,0.5138992021385556,0.49906853330651807,0.006408902107985092,0.4825961710303256,0.5139580008910647,-0.002130438137854298,0.01283145592240865,-0.03485563383887513,0.027833409533057654
positive_noisy,Majority,None,Buffer=20,0.499692,0.00679878930398641,0.4842,0.517,0.4950294675715346,0.006978618385607107,0.4788985456113005,0.5151482347440639,0.49528449532708835,0.0068654660147165905,0.47918198311437166,0.5148845529600471,-0.0013785256244370297,0.013043229335563003,-0.03189463382756442,0.035124196096643925
positive_noisy,Majority,None,Buffer=100,0.5012200000000001,0.0072400276242566945,0.4824,0.519,0.49794683579131366,0.007898110136144445,0.47619954352449867,0.5187541988946274,0.49846773555316004,0.007592880230283866,0.47713417115499696,0.5188760118318032,0.0006231177734587241,0.014255429645294429,-0.0386271371920499,0.03763353084854709
strict_negative,Majority,None,Buffer=5,0.9794059999999999,0.020217130459093353,0.8906,1.0,0.5000943879140134,0.05044040741679394,0.4779311791252025,1.0,0.9696886761885556,0.02903046851492069,0.8487129585701161,1.0,-2.2368218723597373e-05,0.0022336065622603493,-0.005748949833115233,0.016920562964525616
strict_negative,Majority,None,Buffer=20,0.9797279999999999,0.019448835852050372,0.8986,1.0,0.49983056224378564,0.05051863812654857,0.4732961129253134,1.0,0.969798807164178,0.028809411199737893,0.8506077741493732,1.0,-7.911015374060221e-06,7.871360911947246e-05,-0.000791101537406022,0.0
strict_negative,Majority,None,Buffer=100,0.9797279999999999,0.019448835852050372,0.8986,1.0,0.49983056224378564,0.05051863812654857,0.4732961129253134,1.0,0.969798807164178,0.028809411199737893,0.8506077741493732,1.0,-7.911015374060221e-06,7.871360911947246e-05,-0.000791101537406022,0.0
opposing_trend,Majority,None,Buffer=5,0.499314,0.007072779086045318,0.4774,0.5168,0.4990620759281484,0.007094843660382752,0.4765708673166643,0.516462994048332,0.4992336364529833,0.007082901136656912,0.47715417674212657,0.5166366031749489,-0.0018118586351199431,0.014179810405655635,-0.04671228991647136,0.03308451801824591
opposing_trend,Majority,None,Buffer=20,0.500454,0.006724632629370914,0.4848,0.5196,0.4958686708084812,0.00724806338018838,0.47915725060456504,0.5189342820168261,0.49614714798026177,0.007070022265889287,0.4815267517749546,0.5186336351857155,5.854746055692441e-05,0.013336372697252411,-0.029044624743857293,0.04066984728678099
opposing_trend,Majority,None,Buffer=100,0.5005839999999999,0.006891309309557944,0.4846,0.515,0.4971590965330702,0.007194034789121952,0.4826707982256935,0.5149734399455714,0.49770151104325605,0.007009515328257443,0.48326336711155055,0.5150136389468687,-0.0007315433416450888,0.013438984994532862,-0.03081649306388909,0.029960888023005023
